WJSpecID,Scientific,English,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
2534,Abeillia abeillei,Emerald-chinned Hummingbird,1,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0.431363764,1.219512195,0.963414634,-0.016186761
10998,Abroscopus albogularis,Rufous-faced Warbler,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.684845362,1,1,0
10999,Abroscopus schisticeps,Black-faced Warbler,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.672097858,1,1,0
11000,Abroscopus superciliaris,Yellow-bellied Warbler,10,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0.811575006,1,1,0
169,Aburria aburri,Wattled Guan,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,3.147701052,1,1,0
7484,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,4,1,0,1,3,1,0,0,0,1,2,4,2,1,0,0,1.679427897,3.571428571,0.571428571,-0.243038049
13102,Acanthidops bairdii,Peg-billed Finch,4,0,0,2,0,3,1,0,0,5,5,0,0,0,0,0,1.204119983,3.333333333,0.611111111,-0.21387982
5660,Acanthisitta chloris,Rifleman,9,0,0,1,0,0,0,0,0,2,6,2,0,0,0,0,0.839478047,1.219512195,0.963414634,-0.016186761
19967,Acanthiza apicalis,Inland Thornbill,7,0,0,1,1,1,0,0,0,4,4,2,0,0,0,0,0.881954971,1.923076923,0.846153846,-0.072550667
7571,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,8,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,0.968015714,1.470588235,0.921568627,-0.035472318
7567,Acanthiza ewingii,Tasmanian Thornbill,8,0,0,0,0,2,0,0,0,0,5,5,0,0,0,0,0.838849091,1.470588235,0.921568627,-0.035472318
7569,Acanthiza inornata,Western Thornbill,8,0,0,0,2,0,0,0,0,2,3,3,2,0,0,0,0.84509804,1.470588235,0.921568627,-0.035472318
7570,Acanthiza iredalei,Slender-billed Thornbill,8,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0.781036939,1.515151515,0.914141414,-0.038986615
7560,Acanthiza katherina,Mountain Thornbill,10,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0.857332496,1,1,0
7574,Acanthiza lineata,Striated Thornbill,6,0,0,0,2,2,0,0,0,0,2,6,2,0,0,0,0.835690571,2.272727273,0.787878788,-0.103540592
7559,Acanthiza murina,Papuan Thornbill,10,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0.924279286,1,1,0
7573,Acanthiza nana,Yellow Thornbill,8,0,0,0,0,2,0,0,0,0,0,6,4,0,0,0,0.791690649,1.470588235,0.921568627,-0.035472318
7561,Acanthiza pusilla,Brown Thornbill,7,0,0,1,1,1,0,0,0,4,4,2,0,0,0,0,0.881954971,1.923076923,0.846153846,-0.072550667
