,WJSpecID,scientific_name,common_name,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
213,567,Dendrocygna autumnalis,Black-bellied Whistling-duck,1,0,0,0,0,0,9,0,5,5,0,0,0,0,0,0,2.878119485,1.219512195,0.963414634,-0.016186761
212,566,Dendrocygna arborea,West Indian Whistling-duck,0,0,0,4,0,3,3,0,2,8,0,0,0,0,0,0,3.06069784,2.941176471,0.676470588,-0.169751081
214,560,Dendrocygna bicolor,Fulvous Whistling-duck,0,0,0,2,0,2,6,2,8,0,0,0,0,0,0,0,2.878734295,2.272727273,0.787878788,-0.103540592
646,611,Anser canagicus,Emperor Goose,1,0,0,2,0,0,7,0,2,8,0,0,0,0,0,0,3.329700864,1.851851852,0.858024691,-0.066500214
647,609,Anser caerulescens,Snow Goose,0,0,0,0,0,1,9,0,2,8,0,0,0,0,0,0,3.420970118,1.219512195,0.963414634,-0.016186761
648,610,Anser rossii,Ross's Goose,0,0,0,0,0,0,10,0,2,8,0,0,0,0,0,0,3.213780645,1,1,0
32,603,Anser albifrons,Greater White-fronted Goose,0,0,0,1,0,0,9,0,2,8,0,0,0,0,0,0,3.399048649,1.219512195,0.963414634,-0.016186761
76,616,Branta bernicla,Brent Goose,0,0,0,0,0,0,10,0,4,6,0,0,0,0,0,0,3.106500269,1,1,0
78,19813,Branta hutchinsii,Cackling Goose,0,0,0,1,0,0,9,0,4,6,0,0,0,0,0,0,3.448965892,1.219512195,0.963414634,-0.016186761
77,613,Branta canadensis,Canada Goose,0,0,0,1,0,0,9,0,4,6,0,0,0,0,0,0,3.448965892,1.219512195,0.963414634,-0.016186761
206,586,Cygnus olor,Mute Swan,1,1,0,0,0,0,8,0,10,0,0,0,0,0,0,0,4.0286542,1.515151515,0.914141414,-0.038986615
204,590,Cygnus buccinator,Trumpeter Swan,1,0,0,0,0,2,7,0,10,0,0,0,0,0,0,0,4.04419195,1.851851852,0.858024691,-0.066500214
205,591,Cygnus columbianus,Tundra Swan,0,0,0,0,0,0,10,0,5,5,0,0,0,0,0,0,3.804681791,1,1,0
17,637,Alopochen aegyptiaca,Egyptian Goose,1,0,0,0,0,0,9,0,3,7,0,0,0,0,0,0,3.272537777,1.219512195,0.963414634,-0.016186761
568,634,Tadorna tadorna,Common Shelduck,7,2,0,0,0,0,1,0,9,1,0,0,0,0,0,0,3.059499045,1.851851852,0.858024691,-0.066500214
96,657,Cairina moschata,Muscovy Duck,3,2,0,0,0,2,3,0,5,5,0,0,0,0,0,0,3.383057381,3.846153846,0.525641026,-0.279310746
15,659,Aix sponsa,Wood Duck,0,0,0,0,0,5,5,0,8,2,0,0,0,0,0,0,2.8179552,2,0.833333333,-0.079181246
649,690,Spatula discors,Blue-winged Teal,1,0,0,0,0,3,6,0,10,0,0,0,0,0,0,0,2.555626406,2.173913043,0.804347826,-0.094556108
650,691,Spatula cyanoptera,Cinnamon Teal,2,0,0,0,0,3,5,0,10,0,0,0,0,0,0,0,2.57685943,2.631578947,0.728070175,-0.137826759
651,695,Spatula clypeata,Northern Shoveler,6,0,0,0,0,2,2,2,8,0,0,0,0,0,0,0,2.787148634,2.272727273,0.787878788,-0.103540592
652,671,Mareca strepera,Gadwall,0,0,0,0,0,3,7,0,8,2,0,0,0,0,0,0,2.961696297,1.724137931,0.879310345,-0.055857817
653,673,Mareca penelope,Eurasian Wigeon,0,0,0,0,0,2,8,0,5,5,0,0,0,0,0,0,2.886507645,1.470588235,0.921568627,-0.035472318
